Experiment Number,Database Schema Type,LLM Name,Attempt Number,Generated SQL Query,Query Validity (Yes/No),Ground Truth Exact Match? (Yes/No),Exact Match (1/0),Execution Time (ms),Result Rows Count,Resulted Rows,TP (rows in GQ and GT),FP (rows in GQ but not in GT),FN (rows in GT but not in GQ),Precision,Recall,F1-Score,Notes,Average Runtime
1,Normal Format,Meta Llama 3.1 405B,1,"SELECT 
    store_location,
    product_type,
    SUM(transaction_qty * unit_price) AS total_revenue
FROM 
    dbo.Sales
WHERE 
    product_category = 'Coffee'
    AND transaction_date BETWEEN '01/01/2023' AND '01/31/2023'
    AND CAST(transaction_time AS TIME) BETWEEN '06:00:00' AND '12:00:00'
GROUP BY 
    store_location,
    product_type
ORDER BY 
    store_location,
    product_type;",Yes,Yes,1,287,15,,15,0,0,1,1,1,,
2,Normal Format,Meta Llama 3.1 405B,2,"SELECT 
    store_location,
    product_type,
    SUM(transaction_qty * unit_price) AS total_revenue
FROM 
    dbo.Sales
WHERE 
    product_category = 'Coffee'
    AND transaction_date BETWEEN '01/01/23' AND '01/31/23'
    AND CAST(transaction_time AS TIME) BETWEEN '06:00:00' AND '12:00:00'
GROUP BY 
    store_location,
    product_type
ORDER BY 
    store_location,
    product_type;",Yes,Yes,1,129,15,,15,0,0,1,1,1,,
3,Normal Format,Meta Llama 3.1 405B,3,"SELECT 
    store_location,
    product_type,
    SUM(transaction_qty * unit_price) AS total_revenue
FROM 
    dbo.Sales
WHERE 
    product_category = 'Coffee'
    AND transaction_date BETWEEN '01/01/23' AND '01/31/23'
    AND CAST(transaction_time AS TIME) BETWEEN '06:00:00' AND '12:00:00'
GROUP BY 
    store_location,
    product_type
ORDER BY 
    store_location,
    product_type;",Yes,Yes,1,116,15,,15,0,0,1,1,1,,
4,Normal Format,Meta Llama 3.1 405B,4,"SELECT 
    store_location,
    product_type,
    SUM(transaction_qty * unit_price) AS total_revenue
FROM 
    dbo.Sales
WHERE 
    product_category = 'Coffee'
    AND transaction_date BETWEEN '01/01/23' AND '01/31/23'
    AND CAST(transaction_time AS TIME) BETWEEN '06:00:00' AND '12:00:00'
GROUP BY 
    store_location,
    product_type
ORDER BY 
    store_location,
    product_type;",Yes,Yes,1,101,15,,15,0,0,1,1,1,,
5,Normal Format,Meta Llama 3.1 405B,5,"SELECT 
    store_location,
    product_type,
    SUM(transaction_qty * unit_price) AS total_revenue
FROM 
    dbo.Sales
WHERE 
    product_category = 'Coffee'
    AND transaction_date BETWEEN '01/01/23' AND '01/31/23'
    AND CAST(transaction_time AS TIME) BETWEEN '06:00:00' AND '12:00:00'
GROUP BY 
    store_location,
    product_type
ORDER BY 
    store_location,
    product_type;",Yes,Yes,1,112,15,,15,0,0,1,1,1,,149
6,Normal Format,OpenAI GPT-4o,1,"SELECT 
    store_location,
    product_type,
    SUM(transaction_qty * unit_price) AS total_revenue
FROM 
    dbo.Sales
WHERE 
    product_category = 'Coffee'
    AND transaction_date >= '2023-01-01' 
    AND transaction_date <= '2023-01-31'
    AND CAST(transaction_time AS TIME) >= '06:00:00'
    AND CAST(transaction_time AS TIME) < '12:00:00'
GROUP BY 
    store_location,
    product_type;",Yes,Yes,1,291,15,,15,0,0,1,1,1,,
7,Normal Format,OpenAI GPT-4o,2,"SELECT 
    store_location,
    product_type,
    SUM(transaction_qty * unit_price) AS total_revenue
FROM 
    dbo.Sales
WHERE 
    product_category = 'Coffee'
    AND transaction_date BETWEEN '2023-01-01' AND '2023-01-31'
    AND CAST(transaction_time AS TIME) BETWEEN '06:00:00' AND '12:00:00'
GROUP BY 
    store_location,
    product_type
ORDER BY 
    store_location,
    product_type;",Yes,Yes,1,139,15,,15,0,0,1,1,1,,
8,Normal Format,OpenAI GPT-4o,3,"SELECT 
    store_location,
    product_type,
    SUM(transaction_qty * unit_price) AS total_revenue
FROM 
    dbo.Sales
WHERE 
    product_category = 'Coffee'
    AND transaction_date BETWEEN '2023-01-01' AND '2023-01-31'
    AND CAST(transaction_time AS TIME) BETWEEN '06:00:00' AND '12:00:00'
GROUP BY 
    store_location,
    product_type
ORDER BY 
    store_location,
    product_type;",Yes,Yes,1,194,15,,15,0,0,1,1,1,,
9,Normal Format,OpenAI GPT-4o,4,"SELECT 
    store_location,
    product_type,
    SUM(transaction_qty * unit_price) AS total_revenue
FROM 
    dbo.Sales
WHERE 
    product_category = 'Coffee'
    AND transaction_date >= '2023-01-01'
    AND transaction_date <= '2023-01-31'
    AND CAST(transaction_time AS TIME) >= '06:00:00'
    AND CAST(transaction_time AS TIME) < '12:00:00'
GROUP BY 
    store_location,
    product_type;
",Yes,Yes,1,210,15,,15,0,0,1,1,1,,
10,Normal Format,OpenAI GPT-4o,5,"SELECT 
    store_location, 
    product_type, 
    SUM(transaction_qty * unit_price) AS total_revenue
FROM 
    dbo.Sales
WHERE 
    product_category = 'Coffee'
    AND transaction_date >= '2023-01-01' 
    AND transaction_date <= '2023-01-31'
    AND CAST(transaction_time AS TIME) >= '06:00:00'
    AND CAST(transaction_time AS TIME) < '12:00:00'
GROUP BY 
    store_location, 
    product_type;",Yes,Yes,1,133,15,,15,0,0,1,1,1,,193.4
